"Link","Source","Title","Summary","Content","Date","Author","Type","Tag","Categories"
"https://markets.businessinsider.com/news/currencies/bitcoin-price-supply-crypto-currency-miners-btc-sell-off-decline-2024-5","Business Insider","Bitcoin could see a wave of forced selling as miners face the reality of lower rewards post-halving, research firm says","""If miners were forced to sell even a fraction of their holdings over the coming month this would have a negative impact on markets,"" Kaiki Research wrote.","Markets have long considered bitcoin's recent halving as a major price bolster, but it could bring a wave of selling from one corner of the sector, according to Kaiko Research.
The April halving is … [+1708 chars]","2024-05-15T12:17:10Z","fdemott@insider.com (Filip De Mott)","","",""
"https://readwrite.com/99bitcoins-launches-anticipated-crypto-presale-raising-over-1-million/","ReadWrite","‘99Bitcoins’ Launches Anticipated Crypto Presale, Raising Over $1 Million","99Bitcoins has officially launched the presale of their 99BTC token on April 10th. In just around 4 weeks, the presale… Continue reading ‘99Bitcoins’ Launches Anticipated Crypto Presale, Raising Over $1 Million
The post ‘99Bitcoins’ Launches Anticipated Crypt…","99Bitcoins has officially launched the presale of their 99BTC token on April 10th. In just around 4 weeks, the presale raised over $1 million and the token is already being advertised on a multitude … [+3462 chars]","2024-05-06T12:31:55Z","Petar Jovanović","","",""
"https://hackaday.com/2024/05/17/winamp-source-code-will-be-opened-up-company-says/","Hackaday","Winamp Source Code Will be Opened Up, Company Says","Recently the company currently in charge of the Winamp media player – formerly Radionomy, now Llama Group – announced that it will be making the source code of the player …read more","Recently the company currently in charge of the Winamp media player – formerly Radionomy, now Llama Group – announced that it will be making the source code of the player ‘available to developers’. A… [+1030 chars]","2024-05-18T02:00:58Z","Maya Posch","","",""
"https://www.sciencedaily.com/releases/2024/05/240510111420.htm","Science Daily","Blockchain could offer a solution to the UK's transport ticketing systems","A new approach to transport ticketing offers a step towards an integrated, transparent system that works efficiently for both ticket providers and passengers across all modes of transport.","A new approach to transport ticketing offers a step towards an integrated, transparent system that works efficiently for both ticket providers and passengers across all modes of transport.Traditional… [+2902 chars]","2024-05-10T15:14:20Z","","","",""
"https://korben.info/ethereum-blockchain-piratee-en-12-secondes-par-deux-freres.html","Korben.info","Le casse du siècle sur Ethereum – 2 frères dévalisent la blockchain en 12 secondes chrono !","Deux frères geeks ont piraté la blockchain Ethereum en exploitant une faille, dérobant 25 millions de dollars en cryptomonnaies en seulement 12 secondes. Découvrez les dessous de ce casse du siècle.","Grosse panique sur la blockchain Ethereum ! Alors qu’on pensait la technologie des registres distribués imparable, voilà qu’elle se fait braquer en un clin d’il par deux petits génies de l’informatiq… [+3622 chars]","2024-05-15T21:29:30Z","Korben","","",""
"https://readwrite.com/wienerai-raises-over-1-million-in-crypto-presale-as-analysts-highlight-wais-potential-next-meme-coin-to-watch/","ReadWrite","‘WienerAI’ Raises Over $1 Million in Crypto Presale as Analysts Highlight WAI’s Potential – Next Meme Coin to Watch?","A new meme coin called WienerAI launched its crypto presale on April 25th, and in a feat, it has already… Continue reading ‘WienerAI’ Raises Over $1 Million in Crypto Presale as Analysts Highlight WAI’s Potential – Next Meme Coin to Watch?
The post ‘WienerAI’…","A new meme coin called WienerAI launched its crypto presale on April 25th, and in a feat, it has already raised over $1 million in just a matter of days.
This quirky project, blending artificial int… [+4857 chars]","2024-05-06T14:53:33Z","Petar Jovanović","","",""
"https://readwrite.com/rollbit-coin-price-prediction-rlb-token-burn-channel-breakout-next/","ReadWrite","Rollbit Coin Price Prediction With RLB Token Burn – Channel Breakout Next?","The Rollbit Coin (RLB) price dipped to just under $0.12 today alongside the wider crypto market decline, with Bitcoin in… Continue reading Rollbit Coin Price Prediction With RLB Token Burn – Channel Breakout Next?
The post Rollbit Coin Price Prediction With R…","The Rollbit Coin (RLB) price dipped to just under $0.12 today alongside the wider crypto market decline, with Bitcoin in the red today.
With a current market capitalization of $335 million, RLB is i… [+5567 chars]","2024-04-29T19:13:23Z","Arslan Butt","","",""
"https://readwrite.com/bitcoin-whales-drive-price-above-67000-resistance/","ReadWrite","Bitcoin whales drive price above $67,000 resistance","New research suggests that Bitcoin whales have been accumulating the cryptocurrency, keeping the price above a crucial resistance level until… Continue reading Bitcoin whales drive price above $67,000 resistance
The post Bitcoin whales drive price above $67,0…","New research suggests that Bitcoin whales have been accumulating the cryptocurrency, keeping the price above a crucial resistance level until April 24, 2024.
According to data from TradingView, Bitc… [+2172 chars]","2024-04-24T14:56:54Z","Radek Zielinski","","",""
"https://readwrite.com/us-presidential-candidate-rfk-to-speak-at-crypto-conference/","ReadWrite","US presidential candidate RFK to speak at crypto conference","Independent U.S. presidential candidate known for his pro-cryptocurrency stance Robert F. Kennedy Jr. is set to speak at the upcoming… Continue reading US presidential candidate RFK to speak at crypto conference
The post US presidential candidate RFK to speak…","Independent U.S. presidential candidate known for his pro-cryptocurrency stance Robert F. Kennedy Jr. is set to speak at the upcoming Consensus 2024 crypto conference in Austin, Texas.
Kennedy will … [+2146 chars]","2024-05-08T16:33:01Z","Radek Zielinski","","",""
"https://readwrite.com/new-token-based-degen-club-bdc-pumps-600-on-launch-day-1-4m-mc/","ReadWrite","New Token Based Degen Club ($BDC) Pumps 600% On Launch Day – $1.4M MC","New token Based Degen Club ($BDC) token pumped from $200K to an over $1.2M FDV in less than 12 hours… Continue reading New Token Based Degen Club ($BDC) Pumps 600% On Launch Day – $1.4M MC
The post New Token Based Degen Club ($BDC) Pumps 600% On Launch Day – …","New token Based Degen Club ($BDC) token pumped from $200K to an over $1.2M FDV in less than 12 hours of its launch yesterday, a 675% increase.
$BDC currently holds a $1.37M FDV just under 24 hours f… [+2284 chars]","2024-04-24T05:35:11Z","James Spillane","","",""
"https://readwrite.com/crypto-trader-loses-69-million-to-address-poisoning-scam/","ReadWrite","Crypto trader loses $69 million to ‘address poisoning’ scam","A cryptocurrency trader has reportedly fallen victim to a sophisticated “address poisoning” scam, resulting in the loss of tens of… Continue reading Crypto trader loses $69 million to ‘address poisoning’ scam
The post Crypto trader loses $69 million to ‘addre…","A cryptocurrency trader has reportedly fallen victim to a sophisticated “address poisoning” scam, resulting in the loss of tens of millions of dollars.
Address poisoning is a type of fraud where sca… [+2481 chars]","2024-05-06T11:45:17Z","Radek Zielinski","","",""
"https://readwrite.com/bitcoin-altcoins-dip-on-iran-israel-tensions/","ReadWrite","Bitcoin, altcoins dip on Iran-Israel tensions","The past week brought a downturn for both Bitcoin and altcoins, possibly triggered by the macroeconomic implications of the escalating… Continue reading Bitcoin, altcoins dip on Iran-Israel tensions
The post Bitcoin, altcoins dip on Iran-Israel tensions appea…","The past week brought a downturn for both Bitcoin and altcoins, possibly triggered by the macroeconomic implications of the escalating tensions between Iran and Israel over the weekend.
As a result,… [+2636 chars]","2024-04-19T16:10:56Z","Radek Zielinski","","",""
"https://www.genbeta.com/actualidad/240-000-euros-teletrabajar-grandes-tecnologicas-que-buscan-desarrolladores-para-mejorar-sus-proyectos","Genbeta.com","Hasta 240.000 euros por teletrabajar en grandes tecnológicas que buscan desarrolladores para mejorar sus proyectos","Teletrabajar tiene muchas ventajas como por ejemplo poder desarrollar la actividad laboral desde tu propia casa o desde una cafetería. Pero también te abre puertas para trabajar en mercados laborales internacionales que de manera tradicional tienen un sueldo …","Teletrabajar tiene muchas ventajas como por ejemplo poder desarrollar la actividad laboral desde tu propia casa o desde una cafetería. Pero también te abre puertas para trabajar en mercados laborales… [+3035 chars]","2024-05-07T08:33:01Z","José Alberto Lizana","","",""
"https://www.businessinsider.com/jpmorgan-jamie-dimon-economy-inflation-recession-stagflation-geopolitics-crypto-bitcoin-2024-4","Business Insider","Jamie Dimon warns the world order is being challenged — and bashes crypto once more","JPMorgan's CEO warned of sticky inflation, rising interest rates, recession, and global turmoil, while panning crypto's lack of progress.","Most people are financially healthy, but economic and geopolitical threats could spoil the party, Jamie Dimon warned on Tuesday.
Consumers have seen their homes and stock portfolios surge in value i… [+2601 chars]","2024-04-24T11:33:26Z","tmohamed@insider.com (Theron Mohamed)","","",""
"https://thenextweb.com/news/tornado-cash-dev-alexey-pertsev-5-years-prison-money-laundering","The Next Web","Tornado Cash dev Alexey Pertsev gets 5 years prison-time for money laundering","Alexey Pertsev, the developer behind crypto mixer Tornado Cash, has been found guilty of money laundering by a Dutch court at ‘s-Hertogenbosch. Pertsev, was first imprisoned in the Netherlands, where he has been residing, in August 2022 on charges of money la…","Alexey Pertsev, the developer behind crypto mixer Tornado Cash, has been found guilty of money laundering by a Dutch court at s-Hertogenbosch.
Pertsev, was first imprisoned in the Netherlands, where… [+2284 chars]","2024-05-14T14:28:41Z","Ioanna Lykiardopoulou","","",""
"https://readwrite.com/chinese-authorities-shut-down-illegal-crypto-service/","ReadWrite","Chinese authorities shut down illegal crypto service","Chinese authorities have shut down an underground bank that facilitated illegal currency exchange between the Chinese yuan and South Korean… Continue reading Chinese authorities shut down illegal crypto service
The post Chinese authorities shut down illegal c…","Chinese authorities have shut down an underground bank that facilitated illegal currency exchange between the Chinese yuan and South Korean won, using cryptocurrency as a medium.
Police announced on… [+3465 chars]","2024-05-13T12:27:38Z","Radek Zielinski","","",""
"https://wwwhatsnew.com/2024/05/08/explorando-el-futuro-del-blockchain-cita-clave-en-madrid-para-profesionales/","Wwwhatsnew.com","Explorando el futuro del blockchain: Cita clave en Madrid para profesionales","El próximo 28 de mayo, Madrid se convertirá en el epicentro de la tecnología blockchain con la celebración del Blockchain Profesional Expo en el Novotel Madrid Center. Este evento reunirá a más de 200 expertos y representantes de empresas líderes en tecnologí…","El próximo 28 de mayo, Madrid se convertirá en el epicentro de la tecnología blockchain con la celebración del Blockchain Profesional Expo en el Novotel Madrid Center. Este evento reunirá a más de 20… [+2187 chars]","2024-05-08T17:00:04Z","Juan Diego Polo","","",""
"https://readwrite.com/slothana-meme-coin-presale-ends-monday-airdrop-on-solana-tomorrow/","ReadWrite","Slothana Meme Coin Presale Ends Monday, Airdrop On Solana In 20 Hours","Slothana (SLOTH), a Solana-based meme coin, has raised over $15 million in its presale phase, and is set to airdrop… Continue reading Slothana Meme Coin Presale Ends Monday, Airdrop On Solana In 20 Hours
The post Slothana Meme Coin Presale Ends Monday, Airdro…","Slothana (SLOTH), a Solana-based meme coin, has raised over $15 million in its presale phase, and is set to airdrop tokens on the Solana blockchain on Monday, April 29.
The Slothana.com countdown ti… [+3248 chars]","2024-04-28T11:11:10Z","Petar Jovanović","","",""
"https://www.techmeme.com/240419/p11","Techmeme.com","Telegram partners with Tether to let the messaging app's ~900M users send USDT to each other through The Open Network blockchain (Ryan Browne/CNBC)","Ryan Browne / CNBC:
Telegram partners with Tether to let the messaging app's ~900M users send USDT to each other through The Open Network blockchain  —  Stablecoin Tether and Circle's USDC dominate the market.  —  Telegram users can now start making stablecoi…","About This Page
This is a Techmeme archive page.
It shows how the site appeared at 4:00 PM ET, April 19, 2024.
The most current version of the site as always is available at our home page.
To vie… [+68 chars]","2024-04-19T20:00:41Z","","","",""
"https://www.marketwatch.com/story/crypto-industrys-lobbying-hit-a-record-in-2023-and-is-off-to-a-strong-start-in-2024-fa740b43","MarketWatch","Crypto industry’s lobbying hit a record in 2023 — and is off to a strong start in 2024","The cryptocurrency industry’s spending on Washington lobbying rose to a fresh record last year, while it’s started out 2024 with more sizable spending to influence the U.S. government.","The cryptocurrency industrys spending on Washington lobbying rose to a fresh record again last year with companies and trade associations shelling out nearly $25 million, beating 2022s total of more … [+2801 chars]","2024-05-10T12:00:00Z","Victor Reklaitis","","",""
"https://korben.info/bercy-chasse-crypto-fraudeurs-intelligence-artificielle.html","Korben.info","Bercy part en chasse aux crypto-fraudeurs grâce à l’IA","Bercy prépare de nouvelles mesures pour traquer les fraudeurs aux crypto-actifs. L'intelligence artificielle sera mise à contribution pour scanner la blockchain Bitcoin et détecter des schémas de blanchiment d'argent. Le fisc français compte aligner ses pouvo…","Attention, arnaqueurs et fraudeurs de crypto en tout genre, Big Brother Bercy vous surveille ! Le ministère de l’Économie s’apprête à dégainer un nouveau texte de loi antifraude, avec un focus partic… [+3599 chars]","2024-05-02T16:33:15Z","Korben","","",""
"https://www.nakedcapitalism.com/2024/05/taxcast-142-blockchain-havens.html","Nakedcapitalism.com","TaxCast #142: Blockchain Havens","How blockchain/crypto tax havens are displacing traditional tax havens.","Yves here. As we warned from the outset, the use cases for cryptocurrencies are tax evasion and other criminal activity, and speculation. This TaxCast describes how blockchain plus crypto are becomin… [+49436 chars]","2024-05-01T13:55:11Z","Yves Smith","","",""
"https://www.digitaltrends.com/gaming/phoenix-labs-dauntless-fae-farm-layoffs-100-workers/","Digital Trends","Dauntless dev lays off over 100 people as it cancels in-development projects","Phoenix Labs confirmed that it was restructuring its business and laying off workers. This is the third such announcement in little over a year.","Phoenix Labs
Phoenix Labs is seeing its third round of layoffs in just over a year. According to reports, over 100 people were affected this time around and projects have been canceled.
The company… [+1690 chars]","2024-05-16T19:21:26Z","Carli Velocci","","",""
"https://www.investors.com/news/coinbase-stock-q1-earnings-beat-bitcoin-cryptocurrency/","Investor's Business Daily","Coinbase Delivers Major Earnings, Revenue Beat Thanks To Soaring Bitcoin Prices, Crypto Interest","Coinbase transaction revenue more-than doubled as crypto prices, participation rally with bitcoin.","Coinbase posted a major first-quarter beat late Thursday, driven by bitcoin's start-of-the-year boom and renewed interest in cryptocurrencies. Meanwhile, bitcoin rebounded slightly after falling on W… [+3758 chars]","2024-05-02T21:20:43Z","Investor's Business Daily","","",""
"https://www.xataka.com/legislacion-y-derechos/lecciones-primer-juicio-nfts-copyright-espana-siempre-giro-todo-beneficio-economico","Xataka.com","Lecciones del primer juicio sobre NFTs y copyright en España: siempre giró todo sobre el beneficio económico","Dos Miró, dos Tàpies y un Barceló. Para inaugurar su tienda en la Quinta Avenida de Nueva York en 2022, Mango decidió crear NFTs inspirándose en los cinco cuadros de los reconocidos artistas catalanes que entre 1998 y 2008 había comprado físicamente la empres…","Dos Miró, dos Tàpies y un Barceló. Para inaugurar su tienda en la Quinta Avenida de Nueva York en 2022, Mango decidió crear NFTs inspirándose en los cinco cuadros de los reconocidos artistas catalane… [+9629 chars]","2024-05-03T10:15:16Z","Enrique Pérez","","",""
"https://qz.com/bitcoin-crypto-cryptocurrency-glossary-terms-vocabulary-1851465015","Quartz India","Bitcoin and crypto have a lot of terms. We've got a glossary for what you need to know","Since its inception, Bitcoin has captured the attention of countless individuals, which has led to the creation of a bustling cryptocurrency industry. As the crypto industry is new, its terms and jargon are often unfamiliar, which makes it difficult to unders…","Tokens, cryptocurrencies, and digital assets are often used interchangeably but are different from each other.
Digital asset is a broader term that refers to assets that exist in digital form and ca… [+799 chars]","2024-05-12T09:00:00Z","Vinamrata Chaturvedi","","",""
"https://www.presse-citron.net/incroyable-ces-deux-freres-ont-vole-25-millions-de-dollars-de-crypto-en-a-peine-12-secondes/","Presse-citron","Incroyable ! Ces deux frères ont volé 25 millions de dollars de crypto en à peine 12 secondes","Deux jeunes frères américains ont réalisé l’un des braquages les plus spectaculaires de l’Histoire, en seulement 12 secondes.","Âgés de seulement 24 et 28 ans, Anton et James Peraire-Bueno, anciens étudiants du prestigieux Massachusetts Institute of Technology (MIT), ont réussi à voler 25 millions de dollars en Ethereum en se… [+3644 chars]","2024-05-17T12:09:35Z","Romain Vitt","","",""
"https://readwrite.com/insanity-bets-launches-1m-presale-giveaway-how-to-join-the-hottest-crypto-contest-of-2024/","ReadWrite","Insanity Bets Launches $1M Presale Giveaway – How to Join the Hottest Crypto Contest of 2024","Insanity Bets ($IBET) seizes the attention of the market again. This time, with its massive $1M presale giveaway! By joining… Continue reading Insanity Bets Launches $1M Presale Giveaway – How to Join the Hottest Crypto Contest of 2024
The post Insanity Bets …","Insanity Bets ($IBET) seizes the attention of the market again.
This time, with its massive $1M presale giveaway!
By joining the $IBET presale, early investors stand a chance to win the $1M Insanit… [+4729 chars]","2024-05-13T11:54:20Z","Eric Dunne","","",""
"https://readwrite.com/6-vaneck-meme-coin-index-price-predictions-bonk-doge-floki-pepe-shib-wif/","ReadWrite","6 VanEck Meme Coin Index Price Predictions – BONK, DOGE, FLOKI, PEPE, SHIB, WIF","The crypto market entered the weekend facing another correction, and meme coins felt the impact, with top names like Dogecoin… Continue reading 6 VanEck Meme Coin Index Price Predictions – BONK, DOGE, FLOKI, PEPE, SHIB, WIF
The post 6 VanEck Meme Coin Index P…","The crypto market entered the weekend facing another correction, and meme coins felt the impact, with top names like Dogecoin (DOGE), Shiba Inu (SHIB), and dogwifhat (WIF) all down 3-5%.
On Wednesda… [+5176 chars]","2024-05-11T06:20:43Z","Petar Jovanović","","",""
"https://readwrite.com/gamblefi-sensation-insanity-bets-announces-1m-presale-jackpot-heres-how-you-can-join/","ReadWrite","GambleFi Sensation Insanity Bets Announces $1M Presale Jackpot – Here’s How You Can Join","The Insanity Bets ($IBET) presale is hot. A $1 million jackpot further fuels the FOMO around the presale. $IBET resale participants… Continue reading GambleFi Sensation Insanity Bets Announces $1M Presale Jackpot – Here’s How You Can Join 
The post GambleFi S…","The Insanity Bets ($IBET) presale is hot.
A $1 million jackpot further fuels the FOMO around the presale. $IBET resale participants will compete to win the entire $1 million Insanity Jackpot. The mo… [+4529 chars]","2024-05-13T11:55:26Z","Eric Dunne","","",""
"https://readwrite.com/bitcoin-and-altcoins-prices-pump-as-cpi-report-shows-us-inflation-falls-to-3-4-best-ai-cryptocurrencies-to-buy-now/","ReadWrite","Bitcoin and Altcoins Prices Pump as CPI Report Shows US Inflation Falls to 3.4% – Best AI Cryptocurrencies to Buy Now","Today’s CPI report has continued an 11-week trend of data arriving above 3%, leaving traders skeptical about the possibility of… Continue reading Bitcoin and Altcoins Prices Pump as CPI Report Shows US Inflation Falls to 3.4% – Best AI Cryptocurrencies to Buy…","Today’s CPI report has continued an 11-week trend of data arriving above 3%, leaving traders skeptical about the possibility of the figure falling below that number anytime soon. However, the report … [+4334 chars]","2024-05-15T14:57:23Z","Petar Jovanović","","",""
"https://qz.com/doj-charges-brothers-with-fraud-for-25-million-crypto-1851479457","Quartz India","Two crypto thieves have been charged in a $25 million Ethereum heist","The U.S. Department of Justice has arrested two brothers for attacking the Ethereum blockchain and stealing $25 million worth of cryptocurrency within 12 seconds, it said in an unsealed indictment on Wednesday. Read more...","The U.S. Department of Justice has arrested two brothers for attacking the Ethereum blockchain and stealing $25 million worth of cryptocurrency within 12 seconds, it said in an unsealed indictment on… [+1299 chars]","2024-05-15T18:56:00Z","Francisco Velasquez","","",""
"https://www.forbes.com/sites/forbesbusinesscouncil/2024/04/18/how-venture-capitalists-can-support-blockchain-innovation/","Forbes","How Venture Capitalists Can Support Blockchain Innovation","Venture capitalists can do more than invest funds to nurture blockchain innovation. By providing mentoring, resources and contacts, VCs can support blockchain startups as they innovate toward a brighter future.","Sameera Devuruwan (Sam Dee): CEO at HEXXION. Venture Capitalist in elevating tech startups. 
getty
Investors are increasingly jumping on the blockchain train. Blockchain is expanding its reach into… [+4404 chars]","2024-04-18T12:30:00Z","Sameera Devuruwan (Sam Dee), Forbes Councils Member, 
 Sameera Devuruwan (Sam Dee), Forbes Councils Member
 https://www.forbes.com/sites/forbesbusinesscouncil/people/sameeradevuruwan/","","",""
"https://www.forbes.com/sites/digital-assets/2024/05/08/trump-and-the-fed-could-be-about-to-trigger-a-4-trillion-bitcoin-price-boom/","Forbes","Trump And The Fed Could Be About To Trigger A $4 Trillion Bitcoin Price Boom","Bitcoin Subscribe now to Forbes' CryptoAsset & Blockchain Advisor and ""uncover blockchain blockbusters poised for 1,000% plus gains"" in the aftermath of bitcoin's halv...","BitcoinBitcoin
 has stalled after a roaring back last week (though some traders are betting on an ""absolutely enormous"" China earthquake).
Subscribe now to Forbes' CryptoAsset &amp; Blockchain Advi… [+3987 chars]","2024-05-08T12:45:21Z","Billy Bambrough, Senior Contributor, 
 Billy Bambrough, Senior Contributor
 https://www.forbes.com/sites/billybambrough/","","",""
"https://www.zeit.de/geld/2024-04/bitcoin-halving-kryptowaehrung-kurs-wert","Die Zeit","Bitcoin-Halving: Auch halbierter Mist bleibt Mist","Die Zahl der Bitcoin wächst nun langsamer. Ob der Wert der Kryptowährung damit steigt, ist nicht gesagt. Der Bitcoin bleibt hochspekulativ und schadet der Gesellschaft.","Lange haben die Bitcoin-Jünger es herbeigesehnt, nun
fand das sogenannte Halving endlich statt. Das Tempo, mit dem neue Bitcoin
entstehen, halbiert sich dadurch. Dazu muss man wissen: Alle Bitcoin-… [+662 chars]","2024-04-20T07:24:31Z","ZEIT ONLINE: Geld - Nathanael Häfner","","",""
"https://www.zeit.de/news/2024-04/22/umfrage-jeder-achte-erwachsene-investiert-in-krypto","Die Zeit","Digitalwährung: Umfrage: Jeder achte Erwachsene investiert in Krypto","Hier finden Sie Informationen zu dem Thema „Digitalwährung“. Lesen Sie jetzt „Umfrage: Jeder achte Erwachsene investiert in Krypto“.","Jeder achte Erwachsene in Deutschland (13 Prozent) hat bereits in Kryptowährungen investiert. Das geht aus einer repräsentativen Umfrage des Marktforschungsinstituts Spendid Research hervor, die am M… [+2670 chars]","2024-04-22T11:28:17Z","ZEIT ONLINE: News -","","",""
"https://qz.com/bitcoin-halving-dogecoin-ether-solana-litecoin-1851420088","Quartz India","5 cryptocurrencies to watch as the big Bitcoin 'halving' begins","Bitcoin will go through it’s latest so-called “halving” event starting Friday. The halving will cut the current reward for mining new coins from 6.25 Bitcoin to 3.125. Halving is an integral part of the Bitcoin blockchain system, which creates a monetary syst…","Bitcoin Cash was created in 2017 after the Bitcoin hard fork. A hard fork is a phenomenon in the blockchain world that happens when the community makes major changes to the blockchain network and cha… [+528 chars]","2024-04-18T19:07:00Z","Vinamrata Chaturvedi","","",""
